Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/30/1927,30.505917847412107,30.505917847412107,30.505917847412107,30.505917847412107,0.0,0.0,0.0
01/03/1928,30.605918228881833,30.605918228881833,30.605918228881833,30.605918228881833,0.0,0.0,0.0
01/04/1928,30.56591731335449,30.56591731335449,30.56591731335449,30.56591731335449,0.0,0.0,0.0
01/05/1928,30.395917237060544,30.395917237060544,30.395917237060544,30.395917237060544,0.0,0.0,0.0
01/06/1928,30.505917847412107,30.505917847412107,30.505917847412107,30.505917847412107,0.0,0.0,0.0
01/09/1928,30.345917999999998,30.345917999999998,30.345917999999998,30.345917999999998,0.0,0.0,0.0
01/10/1928,30.215918839233396,30.215918839233396,30.215918839233396,30.215918839233396,0.0,0.0,0.0
01/11/1928,30.195918381469724,30.195918381469724,30.195918381469724,30.195918381469724,0.0,0.0,0.0
01/12/1928,30.31591731335449,30.31591731335449,30.31591731335449,30.31591731335449,0.0,0.0,0.0
01/13/1928,30.425917923706052,30.425917923706052,30.425917923706052,30.425917923706052,0.0,0.0,0.0
01/16/1928,30.13591891552734,30.13591891552734,30.13591891552734,30.13591891552734,0.0,0.0,0.0
01/17/1928,30.145917237060544,30.145917237060544,30.145917237060544,30.145917237060544,0.0,0.0,0.0
01/18/1928,30.105918228881833,30.105918228881833,30.105918228881833,30.105918228881833,0.0,0.0,0.0
01/19/1928,30.2259171607666,30.2259171607666,30.2259171607666,30.2259171607666,0.0,0.0,0.0
01/20/1928,30.325917542236326,30.325917542236326,30.325917542236326,30.325917542236326,0.0,0.0,0.0
01/23/1928,30.485917389648435,30.485917389648435,30.485917389648435,30.485917389648435,0.0,0.0,0.0
01/24/1928,30.555917084472654,30.555917084472654,30.555917084472654,30.555917084472654,0.0,0.0,0.0
01/25/1928,30.36591845776367,30.36591845776367,30.36591845776367,30.36591845776367,0.0,0.0,0.0
01/26/1928,30.4759171607666,30.4759171607666,30.4759171607666,30.4759171607666,0.0,0.0,0.0
01/27/1928,30.535918534057615,30.535918534057615,30.535918534057615,30.535918534057615,0.0,0.0,0.0
01/30/1928,30.33591777111816,30.33591777111816,30.33591777111816,30.33591777111816,0.0,0.0,0.0
01/31/1928,30.415917694824216,30.415917694824216,30.415917694824216,30.415917694824216,0.0,0.0,0.0
02/01/1928,30.375918686645505,30.375918686645505,30.375918686645505,30.375918686645505,0.0,0.0,0.0
02/02/1928,30.4759171607666,30.4759171607666,30.4759171607666,30.4759171607666,0.0,0.0,0.0
02/03/1928,30.24591761853027,30.24591761853027,30.24591761853027,30.24591761853027,0.0,0.0,0.0
02/06/1928,30.29591876293945,30.29591876293945,30.29591876293945,30.29591876293945,0.0,0.0,0.0
02/07/1928,30.285918534057615,30.285918534057615,30.285918534057615,30.285918534057615,0.0,0.0,0.0
02/08/1928,30.33591777111816,30.33591777111816,30.33591777111816,30.33591777111816,0.0,0.0,0.0
02/09/1928,30.395917237060544,30.395917237060544,30.395917237060544,30.395917237060544,0.0,0.0,0.0
02/10/1928,30.38591891552734,30.38591891552734,30.38591891552734,30.38591891552734,0.0,0.0,0.0
02/14/1928,30.285918534057615,30.285918534057615,30.285918534057615,30.285918534057615,0.0,0.0,0.0
02/15/1928,30.24591761853027,30.24591761853027,30.24591761853027,30.24591761853027,0.0,0.0,0.0
02/16/1928,30.195918381469724,30.195918381469724,30.195918381469724,30.195918381469724,0.0,0.0,0.0
02/17/1928,29.88591891552734,29.88591891552734,29.88591891552734,29.88591891552734,0.0,0.0,0.0
02/20/1928,29.79591876293945,29.79591876293945,29.79591876293945,29.79591876293945,0.0,0.0,0.0
02/21/1928,29.95591861035156,29.95591861035156,29.95591861035156,29.95591861035156,0.0,0.0,0.0
02/23/1928,29.9759171607666,29.9759171607666,29.9759171607666,29.9759171607666,0.0,0.0,0.0
02/24/1928,30.02591830517578,30.02591830517578,30.02591830517578,30.02591830517578,0.0,0.0,0.0
